API Key,depth,2023
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,0,-1094000000.0
ProfitLoss,3,2338600000.0
DepreciationDepletionAndAmortization,5,1358300000.0
Depreciation,6,1325800000.0
AmortizationOfIntangibleAssets,7,32500000.0
ProvisionForDoubtfulAccounts,5,8200000.0
ShareBasedCompensation,6,59900000.0
RestructuringCharges,7,244600000.0
EnvironmentalRemediationExpense,6,24900000.0
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,5,261200000.0
IncomeLossFromEquityMethodInvestments,6,604300000.0
EquityMethodInvestmentDividendsOrDistributions,6,344300000.0
DeferredIncomeTaxExpenseBenefit,6,-24700000.0
IncreaseDecreaseInAccountsReceivable,8,-130700000.0
IncreaseDecreaseInLeasingReceivables,7,-79600000.0
IncreaseDecreaseInOtherReceivables,7,93800000.0
IncreaseDecreaseInInventories,6,129400000.0
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,6,-213300000.0
IncreaseDecreaseInOtherOperatingCapitalNet,5,119000000.0
OtherOperatingActivitiesCashFlowStatement,4,-103000000.0
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,3,-5916400000.0
PaymentsToAcquirePropertyPlantAndEquipment,6,4626400000.0
ProceedsFromSaleOfPropertyHeldForSale,7,
PaymentsToAcquireInvestments,5,
PaymentsToAcquireFinanceReceivables,7,665100000.0
ProceedsFromSaleAndMaturityOfOtherInvestments,6,
PaymentsToAcquireBusinessesNetOfCashAcquired,6,0.0
PaymentsToAcquireInterestInSubsidiariesAndAffiliates,6,912000000.0
PaymentsToAcquireEquityMethodInvestments,7,
PaymentsForProceedsFromOtherInvestingActivities,4,-4800000.0
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,3,0.0
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,3,1609600000.0
ProceedsFromRepaymentsOfShortTermDebt,5,268200000.0
ProceedsFromIssuanceOfLongTermDebt,7,3516200000.0
RepaymentsOfLongTermDebt,7,615400000.0
ProceedsFromMinorityShareholders,5,234900000.0
ProceedsFromStockOptionsExercised,7,24000000.0
PaymentsOfDividendsCommonStock,6,1496600000.0
ProceedsFromPaymentsForOtherFinancingActivities,4,-205800000.0
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,3,0.0
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2,6500000.0
InterestPaidNet,1,131500000.0
IncomeTaxesPaidNet,0,645200000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,0,-1094000000.0
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2,3205700000.0
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,2,-5916400000.0
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2,1609600000.0
NetCashProvidedByUsedInDiscontinuedOperations,1,600000.0
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,2,600000.0
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,2,0.0
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,2,0.0
ProceedsFromRepaymentsOfShortTermDebt,0,268200000.0
IncomeTaxesPaidNet,0,645200000.0
CashAndCashEquivalentsAtCarryingValue,1,1617000000.0
PaymentsToAcquireShortTermInvestments,1,640100000.0
ProceedsFromSaleMaturityAndCollectionOfShorttermInvestments,1,897000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,0,1617000000.0
CashAndCashEquivalentsAtCarryingValue,1,1617000000.0
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,1,3205700000.0
ProceedsFromLeasePayments,3,129200000.0
InterestPaidNet,3,131500000.0
PaymentsForRestructuring,3,6800000.0
OperatingLeasePayments,3,337800000.0
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,1,600000.0
ProceedsFromRepaymentsOfShortTermDebt,0,268200000.0
