API Key,depth,2022
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,0,17776000000
NetCashProvidedByUsedInOperatingActivities,2,46752000000
DepreciationDepletionAndAmortization,5,41921000000
Depreciation,6,24924000000
AmortizationOfIntangibleAssets,7,604000000
FinanceLeaseRightOfUseAssetAmortization,7,6097000000
ProvisionForDoubtfulAccounts,5,1600000000
ShareBasedCompensation,6,19621000000
AssetImpairmentCharges,6,720000000
IncomeLossFromEquityMethodInvestments,6,-3000000
DeferredIncomeTaxExpenseBenefit,6,-8148000000
FairValueAdjustmentOfWarrants,5,2132000000
GainLossOnContractTermination,5,-480000000
OtherNoncashIncomeExpense,5,-16966000000
IncreaseDecreaseInInventories,6,2592000000
IncreaseDecreaseInContractWithCustomerLiability,6,2216000000
IncreaseDecreaseInAccountsPayable,7,2945000000
IncreaseDecreaseInSelfInsuranceReserve,6,1300000000
NetCashProvidedByUsedInInvestingActivities,2,-37601000000
PaymentsToAcquireProductiveAssets,5,63645000000
PaymentsToAcquireMarketableSecurities,6,2565000000
ProceedsFromSaleAndMaturityOfMarketableSecurities,6,31601000000
NetCashProvidedByUsedInFinancingActivities,2,9718000000
ProceedsFromIssuanceOfLongTermDebt,7,21166000000
RepaymentsOfLongTermDebt,7,1258000000
FinanceLeasePrincipalPayments,7,7941000000
PaymentsForRepurchaseOfCommonStock,6,6000000000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,1,-1093000000
IncomeTaxesPaidNet,0,6035000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,0,17776000000
IncomeTaxesPaidNet,0,6035000000
CashAndCashEquivalentsAtCarryingValue,1,53888000000
FinanceLeasePrincipalPayments,1,7941000000
CashAndCashEquivalentsAtCarryingValue,1,53888000000
NetCashProvidedByUsedInOperatingActivities,0,46752000000
FinanceLeaseInterestPaymentOnLiability,3,374000000
OperatingLeasePayments,3,8633000000
