CIK,Simulation,Year,Revenue,EBITDA,CapEx,Free Cash Flow,Net Income
0000002969,1,2024,11443713056.24936,2118630908.4375298,4201840800.2723827,-2083209891.834853,1588973181.3281474
0000002969,1,2025,13956395643.123259,2583816199.7391763,5124434032.011542,-2540617832.272366,1937862149.8043823
0000002969,2,2024,9967231137.447886,1845282545.5813236,3659714137.6419754,-1814431592.0606518,1383961909.1859927
0000002969,2,2025,9028215572.438032,1671437973.4782693,3314931470.1847067,-1643493496.7064373,1253578480.108702
0000002969,3,2024,11715341539.3972,2168918826.107289,4301575880.783111,-2132657054.6758218,1626689119.5804667
0000002969,3,2025,10550798406.431438,1953321225.609731,3873985218.0566983,-1920663992.4469674,1464990919.2072983
0000002969,4,2024,14050944243.742922,2601320447.4110403,5159149876.924781,-2557829429.5137405,1950990335.5582802
0000002969,4,2025,14398777871.25091,2665716598.433888,5286865551.0758095,-2621148952.6419215,1999287448.825416
0000002969,5,2024,14437439226.571905,2672874165.3828793,5301061018.873988,-2628186853.491109,2004655624.0371594
0000002969,5,2025,16401686742.642384,3036524973.377927,6022282821.123866,-2985757847.7459393,2277393730.0334454
0000002969,6,2024,14642191505.651129,2710780962.32003,5376240855.693997,-2665459893.373967,2033085721.7400227
0000002969,6,2025,17715370892.14964,3279733784.136306,6504634277.415958,-3224900493.2796526,2459800338.102229
0000002969,7,2024,15297459182.145945,2832093891.6025267,5616838504.784125,-2784744613.1815987,2124070418.701895
0000002969,7,2025,20280207189.839375,3754574548.5506587,7446377027.228005,-3691802478.6773467,2815930911.412994
0000002969,8,2024,13497142840.618694,2498792468.596129,4955808066.495104,-2457015597.898975,1874094351.4470968
0000002969,8,2025,12715390011.044617,2354062720.536807,4668768281.515619,-2314705560.978812,1765547040.4026053
0000002969,9,2024,13585723580.602728,2515191856.8628554,4988332664.547654,-2473140807.6847987,1886393892.6471415
0000002969,9,2025,17548682938.006256,3248874022.9751735,6443430693.999375,-3194556671.024202,2436655517.23138
0000002969,10,2024,12599366260.335833,2332582672.657571,4626167306.890292,-2293584634.2327213,1749437004.4931781
0000002969,10,2025,16999856548.240322,3147267092.8635073,6241915582.125319,-3094648489.2618113,2360450319.6476307
0000002969,11,2024,15230951035.306158,2819780911.1157675,5592418402.360349,-2772637491.244581,2114835683.3368256
0000002969,11,2025,19190358834.85,3552805559.8456016,7046212389.964287,-3493406830.1186852,2664604169.884201
0000002969,12,2024,13566928895.152308,2511712304.2636333,4981431733.375605,-2469719429.1119714,1883784228.1977248
0000002969,12,2025,15776558220.001234,2920791853.9521327,5792751503.889976,-2871959649.937843,2190593890.4640994
0000002969,13,2024,13188243733.100296,2441604456.841512,4842388159.271048,-2400783702.4295354,1831203342.631134
0000002969,13,2025,17909882245.095276,3315744628.0264874,6576053906.246728,-3260309278.2202406,2486808471.0198655
0000002969,14,2024,15636516850.246138,2894865306.076917,5741331869.52212,-2846466563.4452033,2171148979.5576878
0000002969,14,2025,17735640503.574688,3283486397.038783,6512076763.9474535,-3228590366.9086704,2462614797.779087
0000002969,15,2024,12985767768.288929,2404119085.165681,4768044127.239038,-2363925042.0733576,1803089313.8742607
0000002969,15,2025,13326619697.676926,2467222680.0611873,4893196299.153375,-2425973619.0921874,1850417010.0458903
0000002969,16,2024,8002797640.49284,1481597306.0299716,2938424047.9346085,-1456826741.9046369,1111197979.5224786
0000002969,16,2025,9428865312.873104,1745612231.376118,3462039879.6409616,-1716427648.2648437,1309209173.5320885
0000002969,17,2024,15292716725.766386,2831215897.317083,5615097195.244888,-2783881297.9278054,2123411922.987812
0000002969,17,2025,18984501905.682663,3514694253.6020584,6970626953.686528,-3455932700.08447,2636020690.201544
0000002969,18,2024,10388930593.541193,1923353840.9169474,3814551468.0919814,-1891197627.175034,1442515380.6877105
0000002969,18,2025,9366767001.337446,1734115665.3984013,3439238956.7450438,-1705123291.3466425,1300586749.048801
0000002969,19,2024,10657272720.508698,1973033339.296082,3913079882.076304,-1940046542.780222,1479775004.4720616
0000002969,19,2025,13590797516.405249,2516131219.5649614,4990195684.912478,-2474064465.347517,1887098414.673721
0000002969,20,2024,15973220190.376303,2957200852.2294283,5864960784.821977,-2907759932.5925484,2217900639.1720715
0000002969,20,2025,16652762392.031013,3083007843.8008523,6114471423.054941,-3031463579.254089,2312255882.8506393
