CIK,Simulation,Year,Revenue,EBITDA,CapEx,Free Cash Flow,Net Income
0000002969,1,2024,,,,,
0000002969,1,2025,,,,,
0000002969,1,2026,,,,,
0000002969,1,2027,,,,,
0000002969,1,2028,,,,,
0000002969,1,2029,,,,,
0000002969,1,2030,,,,,
0000002969,1,2031,,,,,
0000002969,1,2032,,,,,
0000002969,1,2033,,,,,
0000002969,2,2024,,,,,
0000002969,2,2025,,,,,
0000002969,2,2026,,,,,
0000002969,2,2027,,,,,
0000002969,2,2028,,,,,
0000002969,2,2029,,,,,
0000002969,2,2030,,,,,
0000002969,2,2031,,,,,
0000002969,2,2032,,,,,
0000002969,2,2033,,,,,
0000002969,3,2024,,,,,
0000002969,3,2025,,,,,
0000002969,3,2026,,,,,
0000002969,3,2027,,,,,
0000002969,3,2028,,,,,
0000002969,3,2029,,,,,
0000002969,3,2030,,,,,
0000002969,3,2031,,,,,
0000002969,3,2032,,,,,
0000002969,3,2033,,,,,
0000002969,4,2024,,,,,
0000002969,4,2025,,,,,
0000002969,4,2026,,,,,
0000002969,4,2027,,,,,
0000002969,4,2028,,,,,
0000002969,4,2029,,,,,
0000002969,4,2030,,,,,
0000002969,4,2031,,,,,
0000002969,4,2032,,,,,
0000002969,4,2033,,,,,
0000002969,5,2024,,,,,
0000002969,5,2025,,,,,
0000002969,5,2026,,,,,
0000002969,5,2027,,,,,
0000002969,5,2028,,,,,
0000002969,5,2029,,,,,
0000002969,5,2030,,,,,
0000002969,5,2031,,,,,
0000002969,5,2032,,,,,
0000002969,5,2033,,,,,
0000002969,6,2024,,,,,
0000002969,6,2025,,,,,
0000002969,6,2026,,,,,
0000002969,6,2027,,,,,
0000002969,6,2028,,,,,
0000002969,6,2029,,,,,
0000002969,6,2030,,,,,
0000002969,6,2031,,,,,
0000002969,6,2032,,,,,
0000002969,6,2033,,,,,
0000002969,7,2024,,,,,
0000002969,7,2025,,,,,
0000002969,7,2026,,,,,
0000002969,7,2027,,,,,
0000002969,7,2028,,,,,
0000002969,7,2029,,,,,
0000002969,7,2030,,,,,
0000002969,7,2031,,,,,
0000002969,7,2032,,,,,
0000002969,7,2033,,,,,
0000002969,8,2024,,,,,
0000002969,8,2025,,,,,
0000002969,8,2026,,,,,
0000002969,8,2027,,,,,
0000002969,8,2028,,,,,
0000002969,8,2029,,,,,
0000002969,8,2030,,,,,
0000002969,8,2031,,,,,
0000002969,8,2032,,,,,
0000002969,8,2033,,,,,
0000002969,9,2024,,,,,
0000002969,9,2025,,,,,
0000002969,9,2026,,,,,
0000002969,9,2027,,,,,
0000002969,9,2028,,,,,
0000002969,9,2029,,,,,
0000002969,9,2030,,,,,
0000002969,9,2031,,,,,
0000002969,9,2032,,,,,
0000002969,9,2033,,,,,
0000002969,10,2024,,,,,
0000002969,10,2025,,,,,
0000002969,10,2026,,,,,
0000002969,10,2027,,,,,
0000002969,10,2028,,,,,
0000002969,10,2029,,,,,
0000002969,10,2030,,,,,
