API Key,depth,2022
Assets,0,16038000000.0
AssetsCurrent,1,14861000000.0
CashAndCashEquivalentsAtCarryingValue,3,7378000000.0
ShortTermInvestments,3,2244000000.0
EquitySecuritiesFvNi,4,
RestrictedCashCurrent,4,
AccountsReceivableGrossCurrent,5,200000000.0
AllowanceForDoubtfulAccountsReceivableCurrent,5,39000000.0
FundsHeldForClients,2,4783000000.0
OperatingLeaseRightOfUseAsset,2,138000000.0
PropertyPlantAndEquipmentNet,2,121000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,3,312000000.0
EquityMethodInvestments,5,13800000.0
IntangibleAssetsNetIncludingGoodwill,2,
Goodwill,3,650000000.0
IntangibleAssetsNetExcludingGoodwill,3,34000000.0
FiniteLivedIntangibleAssetsNet,4,34000000.0
FiniteLivedIntangibleAssetsAccumulatedAmortization,5,43000000.0
FiniteLivedIntangibleAssetsGross,5,77000000.0
DeferredIncomeTaxAssetsNet,2,
OtherAssetsNoncurrent,2,234000000.0
LiabilitiesAndStockholdersEquity,0,16038000000.0
Liabilities,1,10478000000.0
LiabilitiesCurrent,2,7978000000.0
AccountsPayableAndAccruedLiabilitiesCurrent,3,
AccountsPayableCurrent,4,137000000.0
AccruedLiabilitiesCurrent,4,1817000000.0
OtherAccruedLiabilitiesCurrent,5,672000000.0
EmployeeRelatedLiabilitiesCurrent,5,380000000.0
TaxesPayableCurrent,5,
DeferredRevenueCurrent,3,1182000000.0
LongTermDebtCurrent,5,
BusinessCombinationContingentConsiderationLiabilityCurrent,3,
LongTermDebtNoncurrent,4,1987000000.0
OtherLiabilitiesNoncurrent,4,218000000.0
OperatingLeaseLiabilityNoncurrent,4,295000000.0
TemporaryEquityCarryingAmountAttributableToParent,2,0.0
StockholdersEquity,2,5560000000.0
CommonStockValue,3,0.0
AdditionalPaidInCapital,3,11557000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax,3,-32000000.0
RetainedEarningsAccumulatedDeficit,3,-5965000000.0
